id,nw_lat,nw_lon,se_lat,se_lon
1103,36.773320036408,-119.76513110223084,36.7731857218096,-119.76491663084384
2971,36.773308493747194,-119.7647406972842,36.773174179148796,-119.7645262258972
2131,36.7733609603872,-119.76482112405431,36.7732266457888,-119.76460665266731
1483,36.7735225576384,-119.7626311701261,36.77338824304,-119.76241669873909
2377,36.773503669648,-119.76260603676043,36.7733693550496,-119.76239156537342
642,36.773419723024006,-119.76210001833172,36.7732854084256,-119.76188554694471
1871,36.7733126910784,-119.76220055179438,36.773178376480004,-119.76198608040738
2738,36.773009433899205,-119.76506575548011,36.77287511930081,-119.76485128409311
1991,36.77300313790241,-119.76501046207567,36.772868823304,-119.76479599068867
1040,36.7730451112144,-119.76505402657615,36.772910796616,-119.76483955518913
1964,36.7730220258928,-119.76503224432591,36.7728877112944,-119.7648177729389
1676,36.772990545908804,-119.76504397322988,36.7728562313104,-119.76482950184287
2851,36.7732182511264,-119.76410566091174,36.773083936527996,-119.76389118952473
2080,36.7732004124688,-119.76419278991271,36.773066097870405,-119.76397831852572
558,36.7731962151376,-119.76411738981571,36.773061900539204,-119.76390291842871
2337,36.7732025111344,-119.76418943879729,36.773068196536,-119.76397496741029
3093,36.77322139912481,-119.76416262987391,36.7730870845264,-119.76394815848691
2835,36.7732025111344,-119.76218212065956,36.773068196536,-119.76196764927255
3511,36.773186771142406,-119.76190565363724,36.773052456544,-119.76169118225025
3204,36.7732109057968,-119.76196429815714,36.773076591198404,-119.76174982677013
2125,36.773026223224,-119.76201624044617,36.772891908625596,-119.76180176905916
1346,36.7730535058768,-119.761959271484,36.772919191278405,-119.761744800097
1547,36.7731007258528,-119.7619911070805,36.7729664112544,-119.76177663569351
2143,36.77293598060321,-119.76219552512124,36.7728016660048,-119.76198105373425
2132,36.7729401779344,-119.762173742871,36.772805863336,-119.761959271484
2612,36.77291289528161,-119.76212347613966,36.7727785806832,-119.76190900475267
3468,36.7729328326048,-119.7620832627546,36.772798518006404,-119.7618687913676
2410,36.772952769928,-119.76202126711931,36.7728184553296,-119.7618067957323
1862,36.7729957925728,-119.76201791600388,36.7728614779744,-119.76180344461687
2328,36.772983200579205,-119.7619743515034,36.77284888598081,-119.7617598801164
3215,36.7729485725968,-119.76192743588749,36.772814257998405,-119.76171296450049
1714,36.772929684606396,-119.76189895140641,36.772795370008,-119.7616844800194
937,36.772905549952,-119.76191235586809,36.7727712353536,-119.7616978844811
309,36.7728719713024,-119.76189057361785,36.772737656704,-119.76167610223085
2774,36.7728457379824,-119.76188554694471,36.772711423384,-119.76167107555771
1092,36.772814257998405,-119.76188554694471,36.77267994340001,-119.76167107555771
3054,36.772791172676804,-119.761883871387,36.772656858078406,-119.7616694
1440,36.7725214941472,-119.76430170116392,36.7723871795488,-119.76408722977692
3040,36.7725130994848,-119.76426986556741,36.7723787848864,-119.7640553941804
1855,36.7729779539152,-119.7650640799224,36.772843639316804,-119.7648496085354
283,36.772832096656,-119.764266514452,36.772697782057605,-119.76405204306498
2954,36.777738776828805,-119.76972213035887,36.7776044622304,-119.76950765897188
2360,36.777671619529606,-119.76972213035887,36.7775373049312,-119.76950765897188
397,36.7776579782032,-119.76978915266731,36.7775236636048,-119.7695746812803
2141,36.7777251355024,-119.76886424481086,36.77759082090401,-119.76864977342386
1976,36.777732480832,-119.76886089369543,36.7775981662336,-119.76864642230844
2775,36.7776884088544,-119.76875700911737,36.777554094256004,-119.76854253773037
3355,36.7777135928416,-119.76887764927255,36.77757927824321,-119.76866317788554
1399,36.777667422198405,-119.76884078700292,36.77753310760001,-119.7686263156159
3529,36.7777030995136,-119.76881900475266,36.7775687849152,-119.76860453336566
448,36.7777146421744,-119.76883073365664,36.777580327576004,-119.76861626226963
3058,36.7776317448832,-119.76880392473326,36.777497430284804,-119.76858945334627
1464,36.777591870236805,-119.76882905809893,36.77745755563841,-119.76861458671192
2962,36.777584524907205,-119.76877041357906,36.7774502103088,-119.76855594219205
2039,36.777651682206404,-119.76888770261883,36.777517367608,-119.76867323123182
2926,36.777584524907205,-119.76896812938895,36.7774502103088,-119.76875365800194
1324,36.777690507520006,-119.76577284083415,36.7775561929216,-119.76555836944713
556,36.7776243995536,-119.76590185877788,36.777490084955204,-119.76568738739088
3251,36.7772109624304,-119.76670612647915,36.777076647832004,-119.76649165509215
2960,36.77717948244641,-119.76811191939865,36.777045167848,-119.76789744801164
3499,36.777155347792004,-119.76804824820564,36.777021033193606,-119.76783377681862
855,36.77711967047681,-119.76786896353056,36.7769853558784,-119.76765449214355
543,36.777107078483205,-119.76606103676042,36.77697276388481,-119.76584656537342
2469,36.7767597493264,-119.76735959398641,36.776625434728004,-119.76714512259942
3323,36.7768951132576,-119.76665418419012,36.776760798659204,-119.7664397128031
2458,36.776900359921605,-119.76664245528613,36.7767660453232,-119.76642798389912
3246,36.7765372907728,-119.76684352221145,36.7764029761744,-119.76662905082443
3094,36.7765068601216,-119.76680163326867,36.7763725455232,-119.76658716188166
3490,36.77660444807201,-119.7657812186227,36.7764701334736,-119.76556674723568
786,36.77628335223521,-119.7687167957323,36.776149037636806,-119.76850232434529
755,36.77628125356961,-119.7686849601358,36.7761469389712,-119.76847048874879
578,36.7762329842608,-119.76852410659555,36.7760986696624,-119.76830963520854
2608,36.7763379175408,-119.76831131076625,36.7762036029424,-119.76809683937924
899,36.7762445269216,-119.76848389321049,36.7761102123232,-119.76826942182348
599,36.7762487242528,-119.76838671086324,36.776114409654404,-119.76817223947623
419,36.776280204236805,-119.76823926178469,36.77614588963841,-119.76802479039767
54,36.776305388224,-119.76597055664404,36.776171073625605,-119.76575608525704
2860,36.7762990922272,-119.7659336943744,36.77616477762881,-119.7657192229874
2748,36.776279154904,-119.76585661871968,36.7761448403056,-119.76564214733268
1301,36.7762487242528,-119.76591191212415,36.776114409654404,-119.76569744073716
2473,36.776272858907205,-119.76589012987391,36.77613854430881,-119.76567565848691
1080,36.7759286777488,-119.76785891018429,36.7757943631504,-119.76764443879728
2149,36.7758846057712,-119.76791420358876,36.775750291172805,-119.76769973220175
2110,36.7759507137376,-119.76788907022308,36.7758163991392,-119.76767459883608
2405,36.7759265790832,-119.76777010562562,36.7757922644848,-119.76755563423859
1063,36.775875161776,-119.76781367012609,36.7757408471776,-119.76759919873908
375,36.77590139509601,-119.76780864345295,36.7757670804976,-119.76759417206596
2467,36.775933924412804,-119.76778015897187,36.775799609814406,-119.76756568758486
1091,36.775904543094406,-119.76773994558681,36.775770228496,-119.76752547419981
1999,36.7759475657392,-119.76632745043646,36.775813251140804,-119.76611297904947
1722,36.7758468297904,-119.76787231464597,36.775712515192005,-119.76765784325897
1462,36.7755677072656,-119.7684570842871,36.7754333926672,-119.76824261290011
2382,36.775570855264,-119.76849562211446,36.7754365406656,-119.76828115072746
597,36.775562460601606,-119.76755395868088,36.7754281460032,-119.7673394872939
3127,36.7754522806576,-119.7670965314258,36.775317966059205,-119.7668820600388
3410,36.775508944628804,-119.76689881561592,36.775374630030406,-119.7666843442289
